person_age,person_gender,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,credit_score,previous_loan_defaults_on_file,loan_status
22.0,male,106566.0,0,RENT,28000.0,VENTURE,9.91,0.26,604,No,1
21.0,female,15252.0,0,OWN,4200.0,PERSONAL,13.48,0.28,663,No,1
22.0,male,15432.0,3,OWN,4750.0,DEBTCONSOLIDATION,7.14,0.31,601,No,1
24.0,male,100332.0,1,RENT,28000.0,VENTURE,15.99,0.28,634,No,1
24.0,male,300951.0,2,RENT,18000.0,EDUCATION,12.98,0.06,671,No,0
144.0,male,300616.0,125,RENT,4800.0,VENTURE,13.57,0.02,789,No,0
25.0,female,121062.0,1,RENT,28000.0,DEBTCONSOLIDATION,12.69,0.23,622,No,0
26.0,male,133372.0,1,RENT,28000.0,EDUCATION,8.9,0.21,538,Yes,0
26.0,male,15505.0,0,OWN,2700.0,DEBTCONSOLIDATION,11.01,0.17,587,No,1
22.0,male,130852.0,0,RENT,28000.0,EDUCATION,11.01,0.21,683,No,1
23.0,male,182316.0,0,RENT,28000.0,DEBTCONSOLIDATION,11.11,0.15,634,Yes,0
24.0,female,83853.0,3,RENT,27600.0,HOMEIMPROVEMENT,11.01,0.33,690,No,1
21.0,female,15394.0,0,MORTGAGE,3250.0,DEBTCONSOLIDATION,15.68,0.21,518,No,1
22.0,female,85243.0,0,RENT,27500.0,EDUCATION,13.06,0.32,583,No,1
22.0,male,288907.0,2,OWN,25000.0,PERSONAL,11.01,0.09,617,Yes,0
26.0,male,89074.0,4,RENT,27050.0,VENTURE,15.62,0.3,668,No,1
24.0,male,100509.0,2,RENT,27000.0,PERSONAL,13.49,0.27,673,No,1
24.0,male,88950.0,3,RENT,27000.0,VENTURE,11.01,0.3,706,No,1
23.0,female,75894.0,1,RENT,26000.0,MEDICAL,11.71,0.34,536,No,1
23.0,male,145092.0,0,RENT,25600.0,EDUCATION,12.69,0.18,557,Yes,0
24.0,female,15928.0,1,OWN,1600.0,MEDICAL,13.57,0.1,689,Yes,0
22.0,male,73131.0,3,RENT,25475.0,VENTURE,10.99,0.35,681,No,1
25.0,male,281501.0,4,MORTGAGE,20000.0,MEDICAL,14.27,0.07,623,Yes,0
24.0,female,281775.0,0,OWN,20000.0,HOMEIMPROVEMENT,8.88,0.07,595,Yes,0
26.0,male,281792.0,1,MORTGAGE,21600.0,HOMEIMPROVEMENT,12.18,0.08,584,Yes,0
25.0,male,266090.0,4,MORTGAGE,11900.0,DEBTCONSOLIDATION,14.42,0.04,669,No,1
26.0,male,279664.0,3,MORTGAGE,25000.0,MEDICAL,14.17,0.09,642,Yes,0
25.0,female,277017.0,4,MORTGAGE,35000.0,MEDICAL,13.99,0.13,622,Yes,0
23.0,male,100756.0,0,RENT,25300.0,EDUCATION,10.99,0.25,689,No,1
22.0,male,16218.0,1,MORTGAGE,2000.0,PERSONAL,5.42,0.12,614,No,1
25.0,female,16211.0,2,OWN,1750.0,PERSONAL,13.61,0.11,597,Yes,0
21.0,female,51922.0,3,RENT,25000.0,EDUCATION,12.73,0.48,673,No,1
24.0,male,50309.0,3,RENT,25000.0,HOMEIMPROVEMENT,11.01,0.5,625,No,1
25.0,male,16378.0,0,OWN,3000.0,DEBTCONSOLIDATION,12.87,0.18,603,No,1
24.0,male,16572.0,0,MORTGAGE,3650.0,HOMEIMPROVEMENT,9.91,0.22,589,No,1
26.0,male,272201.0,5,MORTGAGE,20000.0,HOMEIMPROVEMENT,11.49,0.07,670,Yes,0
25.0,female,271324.0,3,MORTGAGE,30000.0,HOMEIMPROVEMENT,19.91,0.11,637,Yes,0
26.0,male,256862.0,2,MORTGAGE,35000.0,EDUCATION,10.65,0.14,643,No,1
24.0,male,271342.0,0,RENT,6000.0,MEDICAL,11.01,0.02,508,Yes,0
24.0,male,16470.0,2,MORTGAGE,4500.0,DEBTCONSOLIDATION,11.83,0.27,643,No,1
23.0,male,16599.0,0,OWN,2400.0,DEBTCONSOLIDATION,13.49,0.14,505,No,1
22.0,male,51608.0,0,RENT,25000.0,MEDICAL,14.59,0.48,593,No,1
26.0,female,58516.0,6,RENT,25000.0,EDUCATION,9.64,0.43,686,No,1
25.0,female,16395.0,4,OWN,3600.0,MEDICAL,14.59,0.22,646,No,1
22.0,female,16890.0,0,OWN,4750.0,EDUCATION,11.01,0.28,645,No,1
25.0,female,51747.0,3,RENT,25000.0,EDUCATION,16.35,0.48,697,No,1
21.0,male,59864.0,0,RENT,25000.0,EDUCATION,10.99,0.42,648,No,1
25.0,male,270972.0,1,MORTGAGE,25000.0,VENTURE,18.67,0.09,640,Yes,0
26.0,male,270870.0,5,RENT,3000.0,EDUCATION,9.32,0.01,681,No,0
23.0,female,270729.0,0,RENT,7500.0,DEBTCONSOLIDATION,8.63,0.03,646,No,0
26.0,male,270877.0,4,MORTGAGE,25000.0,VENTURE,10.08,0.09,615,Yes,0
22.0,male,60501.0,0,RENT,25000.0,PERSONAL,11.83,0.41,687,No,1
23.0,male,60754.0,1,RENT,25000.0,DEBTCONSOLIDATION,7.9,0.41,650,No,1
25.0,male,60829.0,0,RENT,25000.0,HOMEIMPROVEMENT,5.99,0.41,588,No,1
24.0,male,53825.0,2,RENT,25000.0,DEBTCONSOLIDATION,15.33,0.46,652,No,1
23.0,male,60801.0,0,RENT,25000.0,VENTURE,11.83,0.41,658,No,1
22.0,male,60747.0,0,RENT,25000.0,VENTURE,10.36,0.41,634,No,1
22.0,female,61029.0,0,RENT,25000.0,VENTURE,12.23,0.41,623,No,1
22.0,female,63236.0,0,RENT,25000.0,EDUCATION,11.11,0.4,635,No,1
23.0,female,17149.0,0,OWN,4950.0,DEBTCONSOLIDATION,7.9,0.29,531,No,1
24.0,female,265066.0,4,MORTGAGE,25000.0,EDUCATION,11.58,0.09,665,Yes,0
23.0,male,260205.0,2,MORTGAGE,21000.0,DEBTCONSOLIDATION,8.9,0.08,703,No,0
25.0,female,260035.0,5,MORTGAGE,25000.0,EDUCATION,16.07,0.1,585,Yes,0
26.0,female,260444.0,4,MORTGAGE,20000.0,EDUCATION,14.22,0.08,594,No,0
23.0,male,258980.0,0,MORTGAGE,35000.0,MEDICAL,14.79,0.14,618,Yes,0
26.0,male,259081.0,2,MORTGAGE,12000.0,EDUCATION,7.88,0.05,626,Yes,0
23.0,male,63497.0,0,RENT,25000.0,PERSONAL,13.22,0.39,695,No,1
26.0,female,56325.0,2,RENT,25000.0,DEBTCONSOLIDATION,11.86,0.44,690,No,1
22.0,male,64842.0,0,RENT,25000.0,EDUCATION,13.43,0.39,574,No,1
26.0,female,57856.0,0,RENT,25000.0,HOMEIMPROVEMENT,15.28,0.43,602,No,1
23.0,male,57318.0,0,RENT,25000.0,VENTURE,17.93,0.44,679,No,1
23.0,female,16916.0,2,MORTGAGE,1400.0,EDUCATION,9.25,0.08,615,No,0
21.0,male,16664.0,0,OWN,4500.0,VENTURE,12.98,0.27,601,No,1
22.0,male,252803.0,0,MORTGAGE,16000.0,VENTURE,10.62,0.06,577,Yes,0
26.0,female,253061.0,3,OWN,22000.0,PERSONAL,11.83,0.09,588,Yes,0
26.0,male,58602.0,8,RENT,25000.0,VENTURE,18.43,0.43,595,No,1
22.0,male,67012.0,2,RENT,25000.0,EDUCATION,11.01,0.37,653,No,1
24.0,female,66643.0,3,RENT,25000.0,HOMEIMPROVEMENT,11.01,0.38,663,No,1
23.0,male,66599.0,0,RENT,25000.0,EDUCATION,11.36,0.38,653,No,1
23.0,male,67212.0,2,RENT,25000.0,EDUCATION,15.65,0.37,598,No,1
24.0,female,66918.0,1,RENT,25000.0,PERSONAL,13.22,0.37,630,No,1
26.0,male,68066.0,2,RENT,25000.0,DEBTCONSOLIDATION,12.87,0.37,637,No,1
24.0,male,245545.0,1,OWN,20000.0,MEDICAL,13.04,0.08,660,Yes,0
23.0,male,229083.0,0,MORTGAGE,22000.0,EDUCATION,17.58,0.1,639,No,1
23.0,male,17859.0,0,OWN,7750.0,PERSONAL,17.04,0.43,626,No,1
24.0,female,72608.0,3,RENT,25000.0,PERSONAL,10.99,0.34,612,No,1
24.0,male,73073.0,1,RENT,25000.0,PERSONAL,11.11,0.34,628,No,1
26.0,female,65880.0,2,RENT,25000.0,DEBTCONSOLIDATION,14.83,0.38,592,No,1
23.0,male,17755.0,1,OWN,4000.0,DEBTCONSOLIDATION,11.01,0.23,580,No,1
24.0,male,241180.0,3,RENT,12000.0,MEDICAL,12.69,0.05,634,No,0
24.0,male,240894.0,3,MORTGAGE,12000.0,HOMEIMPROVEMENT,13.49,0.05,678,No,0
21.0,male,240980.0,0,MORTGAGE,16000.0,EDUCATION,14.65,0.07,557,Yes,0
25.0,male,65742.0,3,RENT,25000.0,HOMEIMPROVEMENT,16.82,0.38,672,No,1
23.0,male,72713.0,0,RENT,25000.0,PERSONAL,12.73,0.34,613,No,1
23.0,male,72627.0,3,RENT,25000.0,PERSONAL,10.25,0.34,566,No,1
21.0,male,72843.0,0,RENT,25000.0,EDUCATION,10.99,0.34,718,No,1
25.0,male,75504.0,4,RENT,25000.0,MEDICAL,12.73,0.33,484,No,1
22.0,female,68824.0,0,RENT,25000.0,HOMEIMPROVEMENT,14.96,0.36,634,No,1
23.0,female,241167.0,2,MORTGAGE,28000.0,EDUCATION,11.01,0.12,653,Yes,0
21.0,male,241060.0,0,MORTGAGE,25000.0,DEBTCONSOLIDATION,13.99,0.1,699,No,0
24.0,male,240855.0,0,MORTGAGE,24000.0,VENTURE,7.49,0.1,656,Yes,0
26.0,male,241030.0,3,MORTGAGE,15000.0,EDUCATION,14.79,0.06,626,Yes,0
25.0,male,240895.0,2,MORTGAGE,15500.0,DEBTCONSOLIDATION,11.99,0.06,659,No,0
24.0,female,240932.0,4,RENT,10000.0,EDUCATION,8.49,0.04,604,Yes,0
24.0,male,80145.0,1,RENT,25000.0,EDUCATION,9.91,0.31,636,No,1
22.0,male,80303.0,0,RENT,25000.0,EDUCATION,13.06,0.31,554,No,1
22.0,male,241048.0,0,MORTGAGE,9000.0,DEBTCONSOLIDATION,6.17,0.04,587,Yes,0
144.0,male,241424.0,121,MORTGAGE,6000.0,EDUCATION,11.86,0.02,807,No,0
25.0,male,241005.0,4,RENT,18000.0,EDUCATION,16.32,0.07,708,Yes,0
25.0,female,240768.0,2,MORTGAGE,12000.0,VENTURE,10.38,0.05,669,Yes,0
25.0,male,241201.0,2,MORTGAGE,23050.0,PERSONAL,14.35,0.1,578,No,0
24.0,male,240920.0,5,MORTGAGE,20000.0,DEBTCONSOLIDATION,11.01,0.08,615,No,0
24.0,female,72919.0,1,RENT,25000.0,DEBTCONSOLIDATION,11.01,0.34,553,No,1
21.0,male,18008.0,0,OWN,3000.0,HOMEIMPROVEMENT,11.01,0.17,635,No,1
26.0,female,81238.0,3,RENT,25000.0,PERSONAL,15.21,0.31,531,No,1
23.0,male,80868.0,1,RENT,25000.0,EDUCATION,7.9,0.31,621,No,1
24.0,male,81537.0,1,RENT,25000.0,VENTURE,10.99,0.31,674,No,1
24.0,female,82741.0,0,RENT,25000.0,PERSONAL,14.09,0.3,688,No,1
25.0,female,83901.0,3,RENT,25000.0,PERSONAL,17.49,0.3,597,No,1
25.0,male,240717.0,1,MORTGAGE,12000.0,EDUCATION,11.48,0.05,640,No,0
26.0,female,226744.0,0,MORTGAGE,20000.0,VENTURE,17.74,0.09,621,No,1
26.0,female,241114.0,5,MORTGAGE,3000.0,PERSONAL,13.92,0.01,608,Yes,0
25.0,male,85284.0,3,RENT,25000.0,EDUCATION,15.21,0.29,653,No,1
22.0,female,18152.0,0,OWN,4000.0,MEDICAL,10.99,0.22,585,No,1
24.0,female,84871.0,3,RENT,25000.0,EDUCATION,11.86,0.29,569,No,1
24.0,male,18294.0,2,OWN,6000.0,PERSONAL,7.49,0.33,587,No,1
24.0,male,68029.0,1,RENT,25000.0,MEDICAL,16.49,0.37,631,No,1
25.0,female,80001.0,4,RENT,25000.0,VENTURE,15.33,0.31,592,No,1
26.0,female,79875.0,6,RENT,25000.0,HOMEIMPROVEMENT,11.58,0.31,679,No,1
25.0,male,18449.0,1,OWN,5375.0,EDUCATION,5.79,0.29,645,No,1
25.0,male,88153.0,0,RENT,25000.0,MEDICAL,13.11,0.28,669,No,1
23.0,female,90109.0,0,RENT,25000.0,MEDICAL,10.36,0.28,653,No,1
25.0,male,90938.0,1,RENT,25000.0,DEBTCONSOLIDATION,10.36,0.27,577,No,1
24.0,male,231335.0,0,RENT,22000.0,MEDICAL,11.01,0.1,668,Yes,0
21.0,male,231829.0,0,MORTGAGE,20000.0,VENTURE,6.54,0.09,629,No,0
25.0,female,230516.0,4,MORTGAGE,10000.0,MEDICAL,12.53,0.04,643,No,0
26.0,male,229626.0,0,MORTGAGE,15000.0,PERSONAL,11.01,0.07,626,No,0
22.0,male,228907.0,0,MORTGAGE,10000.0,VENTURE,11.01,0.04,560,Yes,0
24.0,male,90938.0,0,RENT,25000.0,EDUCATION,10.25,0.27,648,No,1
22.0,male,86284.0,0,RENT,25000.0,EDUCATION,15.95,0.29,648,No,1
26.0,male,228774.0,3,MORTGAGE,20000.0,VENTURE,12.18,0.09,669,Yes,0
23.0,male,229027.0,2,OWN,24000.0,PERSONAL,11.83,0.1,536,Yes,0
23.0,male,94789.0,1,RENT,25000.0,DEBTCONSOLIDATION,11.01,0.26,548,No,1
23.0,female,94780.0,0,RENT,25000.0,VENTURE,10.62,0.26,667,No,1
23.0,male,95298.0,0,RENT,25000.0,VENTURE,10.74,0.26,676,No,1
25.0,male,223944.0,1,OWN,10000.0,VENTURE,10.25,0.04,570,Yes,0
24.0,male,222629.0,0,MORTGAGE,35000.0,EDUCATION,12.42,0.16,623,No,0
25.0,female,222973.0,2,RENT,15000.0,VENTURE,15.27,0.07,652,Yes,0
24.0,female,75240.0,1,RENT,25000.0,MEDICAL,15.33,0.33,625,No,1
23.0,female,96143.0,1,RENT,25000.0,VENTURE,15.21,0.26,642,No,1
21.0,male,18064.0,0,OWN,6250.0,VENTURE,14.72,0.35,580,No,1
24.0,male,96627.0,2,RENT,25000.0,PERSONAL,15.7,0.26,622,No,1
24.0,male,96309.0,3,RENT,25000.0,EDUCATION,13.35,0.26,581,No,1
21.0,female,18421.0,1,MORTGAGE,1500.0,MEDICAL,11.01,0.08,623,No,0
24.0,male,96836.0,1,RENT,25000.0,EDUCATION,6.62,0.26,583,No,1
26.0,male,96947.0,4,RENT,25000.0,DEBTCONSOLIDATION,13.61,0.26,645,No,1
22.0,female,222975.0,2,RENT,25000.0,MEDICAL,11.36,0.11,593,Yes,0
26.0,male,222985.0,3,OWN,5000.0,PERSONAL,7.68,0.02,659,Yes,0
24.0,female,223064.0,0,RENT,22000.0,HOMEIMPROVEMENT,14.46,0.1,655,Yes,0
23.0,male,221559.0,2,OWN,2500.0,EDUCATION,11.83,0.01,583,Yes,0
24.0,female,207712.0,0,MORTGAGE,20000.0,DEBTCONSOLIDATION,13.47,0.1,582,No,1
24.0,female,220872.0,1,MORTGAGE,20000.0,MEDICAL,11.49,0.09,504,Yes,0
22.0,male,220518.0,0,MORTGAGE,1000.0,EDUCATION,11.01,0.0,551,Yes,0
25.0,female,220510.0,1,MORTGAGE,15000.0,PERSONAL,6.03,0.07,529,Yes,0
23.0,female,89818.0,0,RENT,25000.0,DEBTCONSOLIDATION,16.35,0.28,674,No,1
26.0,female,90006.0,4,RENT,25000.0,DEBTCONSOLIDATION,11.01,0.28,595,No,1
25.0,female,98704.0,6,RENT,25000.0,DEBTCONSOLIDATION,7.29,0.25,597,No,1
23.0,male,98967.0,5,RENT,25000.0,MEDICAL,11.36,0.25,566,No,1
24.0,male,99435.0,3,RENT,25000.0,VENTURE,10.25,0.25,666,No,0
24.0,female,100658.0,1,RENT,25000.0,EDUCATION,11.12,0.25,695,No,0
24.0,female,100435.0,2,RENT,25000.0,PERSONAL,12.92,0.25,576,Yes,0
24.0,male,216925.0,5,RENT,18000.0,EDUCATION,18.64,0.08,651,Yes,0
23.0,female,216891.0,0,MORTGAGE,28000.0,PERSONAL,7.51,0.13,633,Yes,0
23.0,male,18512.0,1,OWN,4000.0,HOMEIMPROVEMENT,16.7,0.22,566,No,1
22.0,male,18367.0,0,OWN,2100.0,PERSONAL,11.14,0.11,583,No,0
22.0,female,102317.0,0,RENT,25000.0,PERSONAL,18.3,0.24,586,Yes,0
24.0,female,103400.0,4,RENT,25000.0,MEDICAL,10.62,0.24,592,Yes,0
24.0,male,217134.0,2,MORTGAGE,14000.0,VENTURE,11.99,0.06,598,Yes,0
26.0,male,217024.0,1,MORTGAGE,12000.0,VENTURE,9.63,0.06,637,Yes,0
25.0,female,172215.0,5,MORTGAGE,10000.0,MEDICAL,18.25,0.06,628,No,1
23.0,male,18831.0,0,MORTGAGE,6000.0,DEBTCONSOLIDATION,11.01,0.32,667,No,1
24.0,male,105349.0,5,RENT,25000.0,HOMEIMPROVEMENT,14.84,0.24,621,Yes,0
24.0,male,91184.0,1,RENT,25000.0,VENTURE,14.7,0.27,668,No,1
23.0,female,91886.0,1,RENT,25000.0,DEBTCONSOLIDATION,16.02,0.27,544,No,1
23.0,male,80452.0,2,RENT,25000.0,MEDICAL,15.37,0.31,699,No,1
25.0,female,108758.0,2,RENT,25000.0,MEDICAL,10.99,0.23,611,No,0
21.0,male,18916.0,0,OWN,6200.0,HOMEIMPROVEMENT,7.9,0.33,615,No,1
26.0,female,217234.0,5,OWN,25000.0,PERSONAL,10.99,0.12,559,Yes,0
24.0,female,217017.0,0,OWN,21000.0,EDUCATION,11.48,0.1,577,Yes,0
25.0,male,216874.0,1,OWN,20000.0,MEDICAL,14.26,0.09,657,Yes,0
26.0,male,216833.0,5,OWN,10000.0,HOMEIMPROVEMENT,8.0,0.05,676,Yes,0
25.0,male,216483.0,0,MORTGAGE,9950.0,VENTURE,11.26,0.05,601,No,0
23.0,female,19000.0,2,OWN,4475.0,MEDICAL,11.01,0.24,647,No,1
23.0,female,94363.0,0,RENT,25000.0,VENTURE,16.32,0.26,576,No,1
25.0,male,80570.0,3,RENT,25000.0,MEDICAL,17.93,0.31,612,No,1
23.0,male,109167.0,0,RENT,25000.0,DEBTCONSOLIDATION,11.36,0.23,678,No,0
24.0,female,95753.0,1,RENT,25000.0,DEBTCONSOLIDATION,14.96,0.26,542,No,1
24.0,female,110935.0,1,RENT,25000.0,PERSONAL,13.43,0.23,709,Yes,0
25.0,male,111490.0,2,RENT,25000.0,HOMEIMPROVEMENT,12.69,0.22,622,Yes,0
24.0,male,111729.0,4,RENT,25000.0,VENTURE,12.73,0.22,642,Yes,0
23.0,female,113396.0,0,RENT,25000.0,VENTURE,15.21,0.22,660,No,0
23.0,female,19175.0,1,MORTGAGE,1750.0,MEDICAL,12.68,0.09,587,Yes,0
23.0,female,85787.0,0,RENT,25000.0,MEDICAL,19.04,0.29,646,No,1
25.0,female,102114.0,7,RENT,25000.0,DEBTCONSOLIDATION,15.95,0.24,637,No,1
26.0,male,211005.0,5,MORTGAGE,2600.0,VENTURE,8.9,0.01,718,No,0
25.0,male,210903.0,4,MORTGAGE,8000.0,HOMEIMPROVEMENT,7.9,0.04,588,Yes,0
22.0,male,210555.0,0,MORTGAGE,18000.0,EDUCATION,11.01,0.09,652,No,0
23.0,male,210937.0,0,MORTGAGE,21000.0,PERSONAL,11.99,0.1,620,Yes,0
23.0,male,19062.0,2,OWN,4000.0,DEBTCONSOLIDATION,13.98,0.21,667,No,1
23.0,female,18926.0,0,OWN,4600.0,VENTURE,10.99,0.24,688,No,1
22.0,male,106694.0,0,RENT,25000.0,DEBTCONSOLIDATION,15.58,0.23,667,No,1
25.0,male,90718.0,4,RENT,25000.0,MEDICAL,10.99,0.28,692,No,1
25.0,male,106668.0,1,RENT,25000.0,VENTURE,14.96,0.23,562,No,1
25.0,male,19158.0,4,OWN,1750.0,HOMEIMPROVEMENT,15.31,0.09,625,Yes,0
26.0,male,106419.0,5,RENT,25000.0,VENTURE,15.65,0.23,649,No,1
25.0,female,120696.0,3,RENT,25000.0,VENTURE,9.33,0.21,545,Yes,0
23.0,male,19065.0,3,MORTGAGE,3600.0,PERSONAL,13.47,0.19,540,No,1
24.0,female,124083.0,0,RENT,25000.0,PERSONAL,10.36,0.2,637,Yes,0
24.0,male,111673.0,4,RENT,25000.0,HOMEIMPROVEMENT,16.77,0.22,600,No,1
23.0,male,112633.0,1,RENT,25000.0,DEBTCONSOLIDATION,14.59,0.22,633,No,1
22.0,male,210938.0,0,RENT,3500.0,VENTURE,11.91,0.02,588,No,0
23.0,female,210720.0,2,MORTGAGE,7200.0,EDUCATION,8.38,0.03,624,Yes,0
25.0,male,210705.0,7,RENT,9000.0,VENTURE,10.59,0.04,525,Yes,0
